census,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,tot,population
170311001003014,4192.0,3849.0,3355.0,2261.0,1138.0,651.0,356.0,352.0,328.0,346.0,861.0,2148.0,19837.0,46.0
170311907023019,6047.0,5231.0,4260.0,2182.0,1534.0,917.0,759.0,765.0,718.0,881.0,2138.0,5670.0,31102.0,160.0
170310628001006,5107.0,4179.0,2851.0,1477.0,978.0,469.0,448.0,466.0,410.0,555.0,1273.0,4103.0,22316.0,52.0
170313018032007,7583.0,6375.0,6170.0,3729.0,2012.0,1425.0,1026.0,1040.0,893.0,1061.0,1552.0,3925.0,36791.0,178.0
170317301001002,3384.0,3240.0,2297.0,1302.0,731.0,339.0,345.0,303.0,324.0,641.0,1401.0,3533.0,17840.0,50.0
170310401002005,990.0,1172.0,835.0,419.0,297.0,157.0,120.0,118.0,269.0,248.0,501.0,1456.0,6582.0,87.0
170310308002006,9130.0,8107.0,5306.0,2893.0,1866.0,626.0,572.0,475.0,527.0,1157.0,2640.0,9707.0,43006.0,47.0
170316407004019,2528.0,2138.0,1458.0,868.0,500.0,399.0,393.0,342.0,318.0,398.0,802.0,1997.0,12141.0,60.0
170311604002018,821.0,619.0,463.0,185.0,110.0,59.0,28.0,31.0,25.0,52.0,108.0,434.0,2935.0,51.0
170318331001017,8066.0,6705.0,5734.0,2769.0,1722.0,1025.0,964.0,840.0,828.0,923.0,1832.0,5314.0,36722.0,128.0
170311104003020,3279.0,3086.0,2552.0,1867.0,986.0,667.0,302.0,404.0,310.0,426.0,982.0,1952.0,16813.0,46.0
170311202001028,6864.0,6160.0,4281.0,1903.0,1358.0,695.0,545.0,559.0,646.0,1379.0,2990.0,7637.0,35017.0,69.0
170318315002012,6094.0,5189.0,3996.0,1822.0,1259.0,467.0,516.0,455.0,512.0,729.0,1914.0,5475.0,28428.0,93.0
170318325001024,2513.0,2460.0,1467.0,650.0,459.0,209.0,206.0,214.0,192.0,282.0,783.0,2537.0,11972.0,22.0
170312828001013,2345.0,1845.0,1517.0,775.0,509.0,313.0,233.0,227.0,239.0,247.0,364.0,1260.0,9874.0,37.0
170311203005024,2558.0,2602.0,1735.0,1017.0,660.0,303.0,182.0,169.0,170.0,298.0,915.0,1889.0,12498.0,23.0
170312610002014,2710.0,2364.0,2372.0,1316.0,849.0,429.0,239.0,221.0,234.0,336.0,841.0,2114.0,14025.0,9.0
170317111003013,5130.0,4867.0,2683.0,1519.0,909.0,379.0,329.0,315.0,317.0,759.0,1780.0,4941.0,23928.0,46.0
170311704001018,5272.0,4436.0,3280.0,1809.0,1333.0,854.0,663.0,620.0,579.0,674.0,1625.0,4015.0,25160.0,67.0
170311505022001,3059.0,2652.0,2569.0,1571.0,893.0,616.0,416.0,373.0,350.0,478.0,761.0,1662.0,15400.0,55.0
170310509001011,6281.0,5141.0,4157.0,2224.0,1482.0,742.0,450.0,424.0,399.0,621.0,1464.0,3769.0,27154.0,51.0
170318348003008,3101.0,2869.0,2245.0,1249.0,727.0,301.0,217.0,209.0,304.0,524.0,1326.0,3739.0,16811.0,36.0
170315906002001,4761.0,4167.0,4386.0,2017.0,1077.0,749.0,427.0,395.0,422.0,436.0,800.0,2777.0,22414.0,99.0
170316604002006,6492.0,5713.0,3615.0,2167.0,1519.0,697.0,599.0,713.0,764.0,879.0,2168.0,6019.0,31345.0,140.0
170311913021027,6257.0,6168.0,3711.0,2228.0,1504.0,922.0,771.0,786.0,706.0,995.0,2259.0,6338.0,32645.0,114.0
170311705001017,2727.0,2257.0,1604.0,866.0,600.0,239.0,213.0,211.0,185.0,258.0,822.0,2117.0,12099.0,30.0
170314302004002,10964.0,8964.0,8251.0,4569.0,3191.0,1895.0,1278.0,1194.0,1160.0,1508.0,3549.0,7683.0,54206.0,167.0
170314909022048,10872.0,8573.0,5443.0,3004.0,1740.0,909.0,815.0,2473.0,770.0,1769.0,3518.0,9431.0,49317.0,145.0
170311403011008,5465.0,4403.0,3766.0,2788.0,1987.0,1376.0,2392.0,1147.0,1205.0,1307.0,1663.0,3382.0,30881.0,110.0
170312714001018,1619.0,1427.0,896.0,564.0,377.0,300.0,245.0,206.0,145.0,181.0,502.0,1497.0,7959.0,46.0
170318348003002,2775.0,2569.0,1853.0,897.0,547.0,264.0,197.0,209.0,209.0,403.0,950.0,2568.0,13441.0,55.0
170310817002007,1155.0,1150.0,1064.0,200.0,210.0,80.0,94.0,94.0,85.0,113.0,177.0,897.0,5319.0,5.0
170311908001014,3081.0,2690.0,1990.0,981.0,681.0,340.0,301.0,319.0,265.0,420.0,958.0,2644.0,14670.0,63.0
170311203004023,4489.0,4411.0,2712.0,1615.0,993.0,579.0,409.0,416.0,365.0,486.0,1229.0,3134.0,20838.0,39.0
170316603011010,11230.0,9410.0,7077.0,2965.0,1869.0,1416.0,1455.0,1386.0,1241.0,1889.0,5246.0,11480.0,56664.0,142.0
170312106011007,2450.0,2178.0,1906.0,1221.0,677.0,391.0,167.0,150.0,137.0,205.0,415.0,1080.0,10977.0,51.0
170312216002007,3136.0,3197.0,2063.0,874.0,564.0,329.0,347.0,313.0,346.0,480.0,1180.0,3736.0,16565.0,50.0
170317204001010,4424.0,3506.0,3133.0,1637.0,938.0,467.0,303.0,317.0,299.0,424.0,1016.0,2568.0,19032.0,38.0
170310209021005,23556.0,19027.0,12674.0,6090.0,3761.0,617.0,467.0,650.0,721.0,4434.0,11024.0,21630.0,104651.0,118.0
170311906013016,5136.0,4960.0,3160.0,1843.0,1233.0,751.0,568.0,600.0,585.0,909.0,2056.0,5437.0,27238.0,115.0
170318366002022,1534.0,1369.0,521.0,254.0,165.0,93.0,71.0,71.0,67.0,99.0,260.0,1573.0,6077.0,7.0
170311004001013,2979.0,2633.0,2218.0,1162.0,700.0,328.0,273.0,226.0,237.0,301.0,753.0,2163.0,13973.0,36.0
170314407002000,5955.0,5114.0,4852.0,3145.0,2043.0,933.0,609.0,382.0,511.0,360.0,1417.0,3052.0,28373.0,74.0
170311004002002,7131.0,6212.0,5093.0,2524.0,1457.0,791.0,615.0,523.0,565.0,692.0,1958.0,5567.0,33128.0,72.0
170311913012008,1292.0,1190.0,758.0,440.0,312.0,205.0,164.0,185.0,174.0,225.0,484.0,1176.0,6605.0,25.0
170318345001026,3838.0,3108.0,3559.0,1479.0,1144.0,652.0,542.0,393.0,514.0,554.0,897.0,2308.0,18988.0,111.0
170318318003003,8255.0,6368.0,5377.0,3206.0,1842.0,1041.0,761.0,652.0,726.0,897.0,2068.0,4871.0,36064.0,121.0
