census,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,tot,population
170311302001016,8118.0,8259.0,7071.0,7783.0,11028.0,13852.0,13359.0,9368.0,7713.0,7712.0,10765.0,9195.0,114223.0,43.0
170311505011001,28074.0,26581.0,23392.0,20707.0,46400.0,63476.0,83511.0,29269.0,18980.0,35438.0,40633.0,45202.0,461663.0,211.0
170311003003019,4292.0,3879.0,3261.0,3322.0,5365.0,6994.0,6785.0,4728.0,3290.0,3403.0,6129.0,4106.0,55554.0,22.0
170314503001042,5176.0,7844.0,6447.0,6660.0,7394.0,14193.0,14261.0,8557.0,5668.0,7530.0,12637.0,14514.0,110881.0,58.0
170310513002008,4635.0,6425.0,6944.0,9495.0,10579.0,14502.0,18648.0,17769.0,11694.0,13082.0,11185.0,13340.0,138298.0,61.0
170312414003009,1660.0,1714.0,1392.0,1644.0,2031.0,4371.0,4707.0,4373.0,2038.0,1815.0,2429.0,2993.0,31167.0,7.0
170318398001001,32447.0,35911.0,36507.0,35237.0,39116.0,44949.0,62515.0,52834.0,45315.0,37463.0,42419.0,43033.0,507746.0,85.0
170315610001023,7158.0,7405.0,7383.0,5050.0,9468.0,12898.0,15880.0,15704.0,6978.0,5664.0,11430.0,9764.0,114782.0,44.0
170315501006036,7441.0,5016.0,4818.0,7714.0,9633.0,14870.0,14237.0,10631.0,6912.0,11013.0,11855.0,10282.0,114422.0,86.0
170317303001022,4572.0,4131.0,3161.0,2821.0,3724.0,4563.0,4134.0,3688.0,1310.0,2985.0,5515.0,5378.0,45982.0,5.0
170311002001016,104178.0,77511.0,51930.0,43771.0,54284.0,84417.0,72858.0,56800.0,32088.0,45382.0,144390.0,139771.0,907380.0,149.0
170318312002018,3337.0,7630.0,8601.0,10439.0,9139.0,10433.0,15931.0,19020.0,12566.0,7937.0,12758.0,15399.0,133190.0,93.0
170311502004042,2817.0,5485.0,8871.0,7043.0,6804.0,11336.0,15559.0,15863.0,8610.0,4517.0,11298.0,11242.0,109445.0,23.0
170312513005010,12796.0,13951.0,18566.0,13090.0,18468.0,23451.0,34111.0,27173.0,16257.0,12140.0,27118.0,24074.0,241195.0,81.0
170316009002001,5338.0,4536.0,5640.0,5268.0,6010.0,7875.0,13643.0,9976.0,7369.0,7034.0,7861.0,10266.0,90816.0,35.0
170318343003013,7827.0,10276.0,9608.0,13737.0,13020.0,15312.0,20004.0,22602.0,16392.0,13386.0,16211.0,17851.0,176226.0,55.0
170315203002001,8440.0,7154.0,6127.0,5982.0,9108.0,13214.0,13445.0,8990.0,5820.0,7486.0,10190.0,12016.0,107972.0,101.0
170311607003015,3733.0,7366.0,9566.0,7003.0,7789.0,12574.0,15313.0,20693.0,13520.0,8677.0,15747.0,16163.0,138144.0,46.0
